"annotation_id","annotator","created_at","id","image","label","lead_time","text","text_type","updated_at"
2155,"1","2025-02-21T00:51:27.223793Z",597804,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005247.jpg","[{""x"":15.54797220341774,""y"":7.711762700762067,""width"":71.69925592304594,""height"":60.286211967468276,""rotation"":0,""rectanglelabels"":[""person""],""original_width"":640,""original_height"":424},{""x"":61.01732197745902,""y"":23.461392777306692,""width"":18.805088874048597,""height"":32.82492518424988,""rotation"":0,""rectanglelabels"":[""person""],""original_width"":640,""original_height"":424}]",57.188,"A black and white photo of an older man skiing.","{""choices"":[""场景描述"",""实体提及""]}","2025-02-21T04:40:33.038996Z"
2156,"1","2025-02-21T00:51:27.223793Z",597805,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005394.jpg","[{""x"":5.544584251957697,""y"":39.40967491694859,""width"":60.382058637203606,""height"":14.529795654479976,""rotation"":0,""rectanglelabels"":[""boat""],""original_width"":640,""original_height"":457}]",20.931,"A boat that looks like a car moves through the water. ","{""choices"":[""场景描述"",""实体提及""]}","2025-02-21T04:40:52.411078Z"
2157,"1","2025-02-21T00:51:27.223793Z",597806,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005802.jpg","[{""x"":2.4607173732069674,""y"":10.691900253295898,""width"":64.30302425625733,""height"":64.1518497467041,""rotation"":0,""rectanglelabels"":[""person""],""original_width"":640,""original_height"":479},{""x"":57.70209755104656,""y"":33.01165444510324,""width"":19.67627639234485,""height"":40.84310531616211,""rotation"":0,""rectanglelabels"":[""person""],""original_width"":640,""original_height"":479}]",21.774,"Two men wearing aprons working in a commercial-style kitchen.","实体提及","2025-02-21T04:41:10.066720Z"
2158,"1","2025-02-21T00:51:27.223793Z",597807,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005879.jpg","[{""x"":8.7135055863606,""y"":49.32635307312012,""width"":28.400943765037233,""height"":39.236860275268555,""rotation"":0,""rectanglelabels"":[""person""],""original_width"":427,""original_height"":640},{""x"":6.070446577228484,""y"":69.19445991516115,""width"":34.0851258896553,""height"":29.64054107666015,""rotation"":0,""rectanglelabels"":[""bicycle""],""original_width"":427,""original_height"":640},{""x"":27.607394716499563,""y"":69.76107597351076,""width"":35.28172941900248,""height"":26.442127227783196,""rotation"":0,""rectanglelabels"":[""bicycle""],""original_width"":427,""original_height"":640},{""x"":34.069513325389714,""y"":51.28331184387207,""width"":13.742751539172277,""height"":22.22753524780274,""rotation"":0,""rectanglelabels"":[""person""],""original_width"":427,""original_height"":640}]",28.239,"A couple bicyclers ride on the street at night.","{""choices"":[""场景描述"",""实体提及""]}","2025-02-21T04:41:24.706581Z"
2159,"1","2025-02-21T00:51:27.223793Z",597808,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000006672.jpg","[{""x"":16.808044147714803,""y"":66.90153121948242,""width"":4.361748081180471,""height"":7.1199989318847665,""rotation"":0,""rectanglelabels"":[""bottle""],""original_width"":640,""original_height"":427}]",16.549,"The back door with a window in the kitchen.","场景描述","2025-02-21T04:41:43.591290Z"
2160,"1","2025-02-21T00:51:27.224790Z",597809,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008045.jpg","[{""x"":11.376080815406816,""y"":49.35690402984619,""width"":2.828560500848489,""height"":4.134387969970708,""rotation"":0,""rectanglelabels"":[""bottle""],""original_width"":500,""original_height"":495},{""x"":7.833447358535663,""y"":48.53574514389038,""width"":3.418503879663256,""height"":5.060255527496338,""rotation"":0,""rectanglelabels"":[""bottle""],""original_width"":500,""original_height"":495},{""x"":14.422271914336948,""y"":60.87715080806188,""width"":25.53890326542373,""height"":13.21885108947754,""rotation"":0,""rectanglelabels"":[""sink""],""original_width"":500,""original_height"":495},{""x"":75.08966593329187,""y"":55.868566376822336,""width"":24.910334066708124,""height"":5.2602148056030185,""rotation"":0,""rectanglelabels"":[""sink""],""original_width"":500,""original_height"":495}]",27.706,"Tub and shower on platform in modern tiled bathroom.","实体提及","2025-02-21T04:42:13.921450Z"
2161,"1","2025-02-21T00:51:27.224790Z",597810,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008180.jpg","[{""x"":-25.924175182047726,""y"":16.243100153386703,""width"":125.92417518204772,""height"":23.366661071777344,""rotation"":0,""rectanglelabels"":[""airplane""],""original_width"":640,""original_height"":418},{""x"":106.24165233460188,""y"":9.09604549407959,""width"":43.53599101653981,""height"":11.610355377197266,""rotation"":0,""rectanglelabels"":[""airplane""],""original_width"":640,""original_height"":418}]",11.941,"A large airplane is on the airport runway.","实体提及","2025-02-21T04:42:28.873363Z"
2162,"1","2025-02-21T00:51:27.224790Z",597811,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008218.jpg","[{""x"":36.86760002332773,""y"":41.975067002432695,""width"":28.54461312573185,""height"":16.229710578918453,""rotation"":0,""rectanglelabels"":[""clock""],""original_width"":640,""original_height"":480}]",12.387,"A building with a black and gold clock on it.","场景描述","2025-02-21T04:42:43.423599Z"
2163,"1","2025-02-21T00:51:27.224790Z",597812,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000011334.jpg","[{""x"":78.04004821062647,""y"":0,""width"":7.8548958485802105,""height"":5.522181987762451,""rotation"":0,""rectanglelabels"":[""clock""],""original_width"":640,""original_height"":480},{""x"":64.20730912434135,""y"":3.33066907387547e-16,""width"":6.680476525907498,""height"":7.6476710183279835,""rotation"":0,""rectanglelabels"":[""clock""],""original_width"":640,""original_height"":480}]",34.75,"A close up detail of an ornate brickwork cathedral","场景描述","2025-02-21T04:43:20.299024Z"
2164,"1","2025-02-21T00:51:27.224790Z",597813,"/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000014297.jpg","[{""x"":-30.13657295173448,""y"":31.309651647295272,""width"":130.13657295173448,""height"":43.485050201416016,""rotation"":0,""rectanglelabels"":[""boat""],""original_width"":640,""original_height"":480},{""x"":-3.1086244689504387e-15,""y"":19.30704457419259,""width"":53.648405052738966,""height"":8.30636978149414,""rotation"":0,""rectanglelabels"":[""boat""],""original_width"":640,""original_height"":480},{""x"":36.488130734731776,""y"":10.547330720084053,""width"":53.76355709460078,""height"":22.02573299407959,""rotation"":0,""rectanglelabels"":[""boat""],""original_width"":640,""original_height"":480}]",34.991,"A house boat along the water has bicycles on deck.","实体提及","2025-02-21T04:44:01.439624Z"
