image,text,label,x_min,y_min,x_max,y_max
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005247.jpg,A black and white photo of an older man skiing.,person,95.68890380859376,34.498138427734375,401.8447266,420.3298950195313
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005247.jpg,A black and white photo of an older man skiing.,person,420.17333984375,106.7243423461914,500.4710693359375,316.8038635253906
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005394.jpg,A boat that looks like a car moves through the water. ,boat,61.243988037109375,173.36477661132812,319.07537841796875,266.3554688
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005802.jpg,Two men wearing aprons working in a commercial-style kitchen.,person,10.50726318359375,68.42816162109375,285.0811767578125,479.0
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005802.jpg,Two men wearing aprons working in a commercial-style kitchen.,person,394.1950073242188,181.560302734375,478.2127075195313,442.9561767578125
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005802.jpg,Two men wearing aprons working in a commercial-style kitchen.,person,1.7557220458984375,238.86508178710935,66.0865249633789,287.0705261230469
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005879.jpg,A couple bicyclers ride on the street at night.,person,37.206668853759766,315.68865966796875,158.47869873046875,566.8045654296875
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005879.jpg,A couple bicyclers ride on the street at night.,bicycle,25.920806884765625,442.8445434570313,171.46429443359375,632.5440063476562
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005879.jpg,A couple bicyclers ride on the street at night.,bicycle,117.88357543945312,446.4708862304688,268.5365600585937,615.7005004882812
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000005879.jpg,A couple bicyclers ride on the street at night.,person,145.47682189941406,328.21319580078125,204.1583709716797,470.4694213867188
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000006672.jpg,The back door with a window in the kitchen.,bottle,114.5037078857422,284.1697998046875,133.1283721923828,329.73779296875
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008045.jpg,Tub and shower on platform in modern tiled bathroom.,bottle,57.63436508178711,243.8841857910156,69.71231842041016,270.3442687988281
/data/local-files/?d=Users/Fiary/anaconda3/envs/label_studio/project/datas2/clean_data/coco2_images/000000008045.jpg,Tub and shower on platform in modern tiled bathroom.,bottle,41.75244522094727,238.62876892089844,56.349456787109375,271.014404296875
